model_id,probe_type,layer,train_accuracy,test_accuracy,train_r2,test_r2,train_mse,test_mse,n_train_samples,n_test_samples,coef_norm,intercept
base,betrayal,0,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.4724776268689276,-0.002030580160886182
base,payoff,0,0.0,0.0,0.13302934202310512,0.43987317098656065,1.9420142738682444,1.254684096990104,10,5,1.017236590385437,5.0424933433532715
base,betrayal,1,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6380396703823477,0.001249807219058274
base,payoff,1,0.0,0.0,0.3138739285226636,0.5714568712094612,1.5369224001092334,0.959936608490807,10,5,1.658159613609314,2.623934268951416
base,betrayal,2,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6198473558846689,3.937751958208211
base,payoff,2,0.0,0.0,0.3110052242617971,0.5998000650735905,1.5433482976535742,0.8964478542351572,10,5,1.5993868112564087,-20.758939743041992
base,betrayal,3,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.6866276337276078,0.0013863502151820293
base,payoff,3,0.0,0.0,0.3516375997821146,0.630064206206563,1.452331776488063,0.8286561780972989,10,5,1.6974737644195557,-12.090295791625977
base,betrayal,4,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.668637215835593,7.777142287748887
base,payoff,4,0.0,0.0,0.339635172315671,0.6235294994906846,1.479217214012897,0.8432939211408665,10,5,1.6466158628463745,-29.20134925842285
base,betrayal,5,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.9221331780495139,0.0023482788081360664
base,payoff,5,0.0,0.0,0.42887747801242826,0.702075125466568,1.2793144492521606,0.6673517189548874,10,5,1.8261152505874634,15.804403305053711
base,betrayal,6,0.6,0.6,0.0,0.0,0.0,0.0,10,5,0.943886906130633,-16.373645863973437
base,payoff,6,0.0,0.0,0.367675470317392,0.6790614545320709,1.4164069464890416,0.718902341848161,10,5,1.6592140197753906,12.60859489440918
base,betrayal,7,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.4700886936695228,-51.722017547476504
base,payoff,7,0.0,0.0,0.7732097853783476,0.8774085169952741,0.5080100807525014,0.274604921930586,10,5,2.2177186012268066,22.229467391967773
base,betrayal,8,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5375590992943269,-67.22036336696078
base,payoff,8,0.0,0.0,0.8997522114560914,0.9132802174582528,0.22455504633835516,0.19425231289351358,10,5,2.108785629272461,38.01042556762695
base,betrayal,9,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.526472397857312,-32.46406515041122
base,payoff,9,0.0,0.0,0.9628188906713814,0.9595271622500954,0.08328568489610574,0.09065915655978643,10,5,1.8045839071273804,2.168394088745117
base,betrayal,10,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.5321751306173117,-6.038990223032086e-05
base,payoff,10,0.0,0.0,0.978002370274055,0.9721596394406983,0.049274690586116776,0.06236240765283583,10,5,1.6341872215270996,-12.43836784362793
base,betrayal,11,1.0,0.6,0.0,0.0,0.0,0.0,10,5,1.4051206548578379,0.00040525497400215125
base,payoff,11,0.0,0.0,0.9962852241228818,0.9387010745391332,0.008321097964744695,0.13730959303234158,10,5,1.0712991952896118,-3.285168170928955
base,betrayal,12,1.0,0.8,0.0,0.0,0.0,0.0,10,5,1.2776925380595783,-0.0006190935204527871
base,payoff,12,0.0,0.0,0.9967306089641461,0.9553636575277592,0.007323435920312704,0.09998540713781949,10,5,1.0116831064224243,3.737926959991455
base,betrayal,13,1.0,1.0,0.0,0.0,0.0,0.0,10,5,0.9718878378425804,-0.0006895899652250698
base,payoff,13,0.0,0.0,0.9995205919658758,0.9882538422495364,0.0010738739964381238,0.026311393361038427,10,5,0.639948308467865,-7.343119144439697
base,betrayal,14,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.7283815524962014,-0.0014118495092983769
base,payoff,14,0.0,0.0,0.9998636984058439,0.8615444767972957,0.00030531557090967,0.3101403719740574,10,5,0.4593403935432434,-1.3237857818603516
base,betrayal,15,1.0,0.6,0.0,0.0,0.0,0.0,10,5,0.719623191836955,-0.00020342119262442608
base,payoff,15,0.0,0.0,0.9999268000372662,0.888672706502218,0.00016396791652368848,0.2493731374350318,10,5,0.3886311948299408,-15.748777389526367
base,betrayal,16,1.0,0.6,0.0,0.0,0.0,0.0,10,5,0.6506477841461493,0.0007057172896316699
base,payoff,16,0.0,0.0,0.9999850655009125,0.6766446813320985,3.345327795614139e-05,0.724315913816099,10,5,0.2754693031311035,-10.709493637084961
base,betrayal,17,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6900643590552888,-0.00044958247819967226
base,payoff,17,0.0,0.0,0.9999805420219801,0.6124044205503064,4.358587076467302e-05,0.8682140979673136,10,5,0.2905656397342682,4.288570404052734
base,betrayal,18,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6922095702332359,-0.00020374109388423108
base,payoff,18,0.0,0.0,0.9999851295360921,0.5233802956836401,3.330983915361685e-05,1.067628137668646,10,5,0.2677619457244873,1.637193202972412
base,betrayal,19,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6971277892950111,-0.0002347182065849835
base,payoff,19,0.0,0.0,0.99998690687412,0.6283897608211433,2.9328601971201352e-05,0.8324069357606391,10,5,0.25670820474624634,0.15349769592285156
base,betrayal,20,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.7028141254253313,-0.0004398566478394415
base,payoff,20,0.0,0.0,0.9999876383179321,0.6414620025950778,2.7690167831906366e-05,0.8031251141870257,10,5,0.25257325172424316,3.578331708908081
base,betrayal,21,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6860301238065626,0.0002848090598054067
base,payoff,21,0.0,0.0,0.9999891919356416,0.6760573109337956,2.421006416284399e-05,0.7256316235082977,10,5,0.2412208914756775,4.2124152183532715
base,betrayal,22,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6558896238783541,-0.00023666450083669835
base,payoff,22,0.0,0.0,0.9999920738974727,0.6874566604473447,1.7754469661213078e-05,0.7000970805979477,10,5,0.22396111488342285,1.7222051620483398
base,betrayal,23,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.6262108088236921,-0.00022667702257414267
base,payoff,23,0.0,0.0,0.9999945028245207,0.7203583498181803,1.231367307354958e-05,0.6263972964072764,10,5,0.2031306028366089,0.19363880157470703
base,betrayal,24,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.5933672796056142,-0.0001302952120283045
base,payoff,24,0.0,0.0,0.9999962821587677,0.7426974119266521,8.327964360432816e-06,0.5763577972842995,10,5,0.18375004827976227,-5.106324672698975
base,betrayal,25,1.0,0.2,0.0,0.0,0.0,0.0,10,5,0.5155925461033396,0.00020675484184154428
base,payoff,25,0.0,0.0,0.9999978945699094,0.7747947556918494,4.716163402918028e-06,0.5044597472502573,10,5,0.15883256494998932,-12.439477920532227
